Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,tax%_2022,tax%_2023,tax%_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,CL_2022,CL_2023,CL_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,P/E,PromoterHold,About,MCap_category,EBIT_2024,EBIT_2023,EBIT_2022,operating_margin_24,operating_margin_23,operating_margin_22,avg_operating_margin,shares_outstanding,P/R,cash,CA_2024,CA_2023,CA_2022,Change_WC_24-23,Change_WC_23-22,Reinv_rate_24,Reinv_rate_23,Equity_2024,Equity_2023,Equity_2022,invested_capital_2024,invested_capital_2023,invested_capital_2022,ROC_2024,ROC_2023,ROC_2022,ROE,sales_to_capital_24-23,sales_to_capital_23-22,debt%_2024,debt%_2023,debt%_2022,avg_interest_coverage_ratio,DE,debt_ratio,EV,EV2EBITDA,EV2invested_capital,price2sales,EV2sales,sales_CAGR,Kd,Beta,Ke,WACC,asset_turnover,capex/revenue
B.A.G. Films and Media Limited (BSE:532507),BSE:532507,Broadcasting,Communication Services,121.0,112.0,132.0,101.0,99.0,110.0,2.0,1.0,2.0,10.0,9.0,10.0,6,5,5.0,4%,18%,20%,0%,0%,0%,40.0,40.0,40.0,104.0,102.0,111.0,134.0,125.0,108.0,106.0,118.0,120.0,33.0,30.0,28.0,1.0,1.0,1.0,125.0,125.0,125.0,223.0,229.0,225.0,-11.0,-5.0,19.0,28.0,0.0,-2.0,-9.0,-11.0,-13.0,163.0,8.24,276.0,46.86,"Business Overview: [1] BAGFML produces programmes for all genres. It creates wide range from movies, daily soaps, drama and comedy to OTT for different age groups, formats, media and news and non news platforms. Company pitched content production to various OTT platforms including MX player, Applause, etc.",Micro,32.0,22.0,30.0,0.24242424242424243,0.19642857142857142,0.24793388429752067,0.22892889938344485,19.781553398058254,1.2348484848484849,45.13333333333333,351.0,355.0,349.0,-6.0,-6.0,-0.25,-0.2727272727272727,151.0,142.0,144.0,259.0,267.0,278.0,0.12,0.08239700374531835,0.1079136690647482,0.13,-2.5,0.8181818181818182,0.416988416988417,0.4681647940074906,0.48201438848920863,3.2000000000000006,1.16,0.28,225.86666666666667,6.1,0.87,1.23,1.71,4.0,10.59,1.6,21.116,16.726779922779922,0.3482849604221636,0.015151515151515152
Entertainment Network (India) Limited (NSEI:ENIL),NSEI:ENIL,Broadcasting,Communication Services,319.0,511.0,536.0,274.0,597.0,429.0,14.0,24.0,28.0,17.0,17.0,15.0,87,90,80.0,-20%,-3%,17%,-13%,-3%,22%,48.0,48.0,48.0,713.0,544.0,724.0,235.0,197.0,193.0,110.0,413.0,292.0,641.0,546.0,497.0,1.0,1.0,1.0,217.0,283.0,308.0,248.0,372.0,450.0,40.0,114.0,127.0,6.0,-59.0,-41.0,-45.0,-43.0,-40.0,724.0,152.0,31.3,71.15,"Overview [1] ENIL, incorporated in June 1999, has acquired FM radio licences across 63 cities. It is a subsidiary of BCCL (71% stake). The company has 73 frequencies located in 63 cities in India. After 19 years, the Radio Mirchi brand has been changed to just Mirchi.",Small,122.0,-69.0,62.0,0.22761194029850745,-0.1350293542074364,0.19435736677115986,0.09564665095407698,4.7631578947368425,1.3507462686567164,71.33333333333334,759.0,656.0,466.0,224.0,-113.0,1.5,2.4927536231884058,772.0,592.0,761.0,965.0,789.0,996.0,0.13,-0.08745247148288973,0.06224899598393574,0.04,0.14204545454545456,-0.927536231884058,0.2,0.24968314321926488,0.2359437751004016,8.133333333333333,0.42,0.15,845.6666666666666,4.19,0.88,1.35,1.58,30.0,9.53,1.4,17.664,16.037200000000002,0.4267515923566879,0.07649253731343283
Network18 Media & Investments Limited (NSEI:NETWORK18),NSEI:NETWORK18,Broadcasting,Communication Services,5880.0,6223.0,9297.0,4799.0,6086.0,9955.0,74.0,183.0,801.0,97.0,209.0,322.0,120,128,210.0,11%,-1%,-17%,0%,0%,0%,518.0,518.0,518.0,237.0,157.0,14710.0,2284.0,6069.0,8156.0,6101.0,7236.0,16498.0,2876.0,3055.0,3681.0,259.0,916.0,11627.0,869.0,958.0,4188.0,5137.0,9051.0,20385.0,641.0,-2804.0,-6465.0,-249.0,-718.0,9929.0,-381.0,3411.0,1139.0,7665.0,49.7,,56.89,"Indiaâs Most Diversified Media Group Network18 Group is Indiaâs only media and entertainment conglomerate with a presence across the complete spectrum of content genres â news, entertainment, sports, movies, and live entertainment, across multiple platforms like TV, digital, cinemas and on-ground. [1]",Mid,-336.0,346.0,1178.0,-0.0361406905453372,0.05560019283303873,0.20034013605442177,0.0732665461140411,154.22535211267603,0.8244595030655049,2304.866666666667,36200.0,10925.0,6265.0,16013.0,3525.0,-77.20833333333333,8.11271676300578,15228.0,675.0,755.0,23384.0,6744.0,3039.0,-0.01,0.051304863582443655,0.38762750904902926,-0.03,0.18473557692307693,0.09257759784075574,0.34878549435511463,0.8999110320284698,0.7515630141493912,-1.0434782608695652,5.03,0.2,13516.133333333333,-107.27,0.58,0.82,1.45,26.0,27.76,1.2,16.212,20.239774888812864,0.2331185276196685,-1.0679789179305152
New Delhi Television Limited (NSEI:NDTV),NSEI:NDTV,Broadcasting,Communication Services,396.0,386.0,370.0,294.0,328.0,398.0,23.0,25.0,22.0,10.0,3.0,5.0,19,17,9.0,12%,16%,7%,0%,0%,0%,26.0,26.0,26.0,207.0,254.0,233.0,22.0,8.0,113.0,225.0,179.0,228.0,68.0,49.0,133.0,0.0,0.0,36.0,32.0,32.0,35.0,379.0,385.0,395.0,155.0,-13.0,-68.0,-78.0,40.0,50.0,-81.0,-19.0,21.0,910.0,141.0,,64.71,"Revenue Split The company majorly gets its revenue from advertisements sales, event sales and subscription revenue (DTH and cable operators). Advertising Sales : 63% in FY21 vs 65% in FY18 Subscription Revenue : 9% in FY21 vs 13% in FY18 Events : 4% in FY21 vs 8% in FY18 Other Business Income: 6% in FY21 vs 11% in FY18. [1] [2]",Small,-23.0,61.0,112.0,-0.062162162162162166,0.15803108808290156,0.2828282828282828,0.12623240291634075,6.453900709219858,2.4594594594594597,77.26666666666667,466.0,417.0,411.0,0.0,52.0,-2.1739130434782608,1.5081967213114753,259.0,280.0,233.0,372.0,288.0,255.0,-0.06,0.21180555555555555,0.4392156862745098,-0.09,-0.19047619047619047,-0.30303030303030304,0.30376344086021506,0.027777777777777776,0.08627450980392157,-4.6,0.45,0.19,945.7333333333333,-67.55,2.54,2.46,2.56,-3.0,27.76,1.4,17.664,20.730795698924734,0.6176961602671118,-0.13513513513513514
Next Mediaworks Limited (NSEI:NEXTMEDIA),NSEI:NEXTMEDIA,Broadcasting,Communication Services,26.0,36.0,38.0,36.0,38.0,41.0,5.0,5.0,-7.0,16.0,18.0,21.0,9,9,9.0,0%,0%,0%,0%,0%,0%,67.0,67.0,67.0,-118.0,-133.0,-155.0,158.0,188.0,213.0,-6.0,-30.0,-46.0,70.0,63.0,43.0,0.0,0.0,0.0,5.0,0.0,2.0,26.0,29.0,33.0,-11.0,-1.0,2.0,-5.0,3.0,-2.0,17.0,-2.0,5.0,46.8,7.0,,74.99,"Next Radio Next Radio Limited was among the first private players to venture into private FM broadcasting and presently has established ""Radio One"" as the premium FM Brand in top 7 cities of the country being Delhi, Mumbai, Chennai, Kolkata, Bangalore, Pune, and Ahmedabad. The Company operates under frequency 94.3MHz in all its cities except for the city of Ahmedabad where it operates under the frequency 95 MHz. [1]",Nano,18.0,16.0,6.0,0.47368421052631576,0.4444444444444444,0.23076923076923078,0.3829659619133303,6.685714285714285,1.2315789473684209,5.866666666666667,35.0,29.0,31.0,22.0,22.0,1.1111111111111112,1.5625,-88.0,-66.0,-51.0,125.0,122.0,107.0,0.14,0.13114754098360656,0.056074766355140186,-0.07,0.6666666666666666,0.6666666666666666,1.704,1.540983606557377,1.4766355140186915,0.8571428571428571,-3.84,2.73,253.93333333333334,9.4,2.03,1.23,6.68,21.0,18.86,1.8,22.567999999999998,16.249568,0.48717948717948717,0.05263157894736842
Sea TV Network Limited (BSE:533268),BSE:533268,Broadcasting,Communication Services,13.0,12.0,12.0,15.0,16.0,16.0,0.0,4.0,36.0,0.0,0.0,1.0,1,1,1.0,0%,0%,0%,0%,0%,0%,12.0,12.0,12.0,-81.0,-82.0,-52.0,68.0,67.0,26.0,21.0,22.0,30.0,9.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,7.0,-2.0,-1.0,8.0,0.0,0.0,0.0,3.0,1.0,-7.0,9.81,8.15,,58.49,"Products & Services: [1] Set Top Boxes, Broadband Internet, Optical Fibre Cable, and Advanced Cable Network System",Nano,-3.0,-4.0,-2.0,-0.25,-0.3333333333333333,-0.15384615384615385,-0.24572649572649571,1.203680981595092,0.8175,1.9333333333333333,7.0,10.0,12.0,-11.0,-3.0,3.6666666666666665,0.75,-40.0,-70.0,-69.0,-14.0,-3.0,-1.0,0.21,1.3333333333333333,2.0,0.07,-0.0,0.5,-1.8571428571428572,-22.333333333333332,-68.0,-3.0,-1.13,1.73,33.87666666666667,-16.94,-2.42,0.82,2.82,-4.0,27.76,1.8,22.567999999999998,12.925714285714271,0.8,-0.0
Sun TV Network Limited (NSEI:SUNTV),NSEI:SUNTV,Broadcasting,Communication Services,3585.0,3772.0,4282.0,1306.0,1379.0,1644.0,256.0,380.0,515.0,33.0,9.0,9.0,306,486,532.0,25%,25%,26%,33%,35%,34%,197.0,197.0,197.0,7958.0,9075.0,10339.0,95.0,63.0,38.0,648.0,814.0,847.0,1791.0,1729.0,1707.0,244.0,131.0,145.0,3589.0,5512.0,7061.0,3274.0,2775.0,2508.0,1634.0,2096.0,2171.0,-1026.0,-1553.0,-1313.0,-603.0,-631.0,-697.0,24831.0,630.0,13.6,75.0,"Business [1] Company is one of the largest Television Broadcasters in India operating Satellite Television Channels across six languages of Tamil, Telugu, Kannada, Malayalam, Marathi and Bangla and presently airing FM radio. The Company produces its own content / acquires the related rights. The Company is the owner of IPL franchise âSunRisers Hyderabadâ & SunRisers Eastern Cape Cricket South Africaâs T20 League, and also opened a branch office in South Africa. The Company also operates an OTT platform âSUNNXTâ",Large,2647.0,2402.0,2312.0,0.61816907986922,0.6367974549310711,0.6449093444909344,0.6332919597637419,39.41428571428571,5.798925735637551,570.4666666666667,9714.0,8418.0,7107.0,1263.0,1145.0,-0.018889308651303362,-0.16985845129059118,10536.0,9272.0,8155.0,10574.0,9335.0,8250.0,0.25,0.2573111944295661,0.28024242424242424,0.14,0.4116222760290557,0.17235023041474654,0.003593720446377908,0.00674879485806106,0.011515151515151515,294.1111111111111,0.01,0.0,24298.533333333333,7.64,2.3,5.8,5.67,9.0,9.21,1.0,14.76,14.7400548515226,0.3749233867437177,0.3066324147594582
T.V. Today Network Limited (NSEI:TVTODAY),NSEI:TVTODAY,Broadcasting,Communication Services,930.0,878.0,952.0,686.0,747.0,863.0,44.0,34.0,33.0,3.0,3.0,3.0,42,41,41.0,25%,27%,27%,10%,473%,90%,30.0,30.0,30.0,1128.0,799.0,838.0,32.0,34.0,34.0,222.0,210.0,225.0,227.0,214.0,193.0,1.0,1.0,3.0,0.0,0.0,0.0,1183.0,857.0,930.0,235.0,41.0,15.0,-211.0,371.0,35.0,-22.0,-427.0,-28.0,1113.0,186.0,10.8,58.45,"Market Position Aaj Tak has maintained its leadership among Hindi news channels in the new Audience Measurement System BARC with a total viewership of 85 crore Gross AMAs. India Today Television has also obtained leadership positions in critical news and events. Good News Today has the second highest reach among Hindi news channels in the Freeview distribution platform, crossing news channels â Zee News, ABP News, Zee Hindustan, and Times Now Navbharat in terms of viewership. [1]",Small,92.0,134.0,247.0,0.09663865546218488,0.15261958997722094,0.26559139784946234,0.17161654776295607,5.983870967741935,1.1691176470588236,198.0,933.0,858.0,1184.0,60.0,-314.0,1.0326086956521738,0.4253731343283582,868.0,829.0,1158.0,902.0,863.0,1190.0,0.1,0.1552723059096176,0.20756302521008405,0.04,1.8974358974358974,0.15902140672782875,0.037694013303769404,0.039397450753186555,0.02689075630252101,30.666666666666668,0.06,0.03,949.0,7.14,1.05,1.17,1.0,1.0,9.21,1.4,17.664,17.345334811529934,0.8454706927175843,-0.03676470588235294
Zee Media Corporation Limited (NSEI:ZEEMEDIA),NSEI:ZEEMEDIA,Broadcasting,Communication Services,867.0,721.0,638.0,605.0,660.0,677.0,-212.0,-12.0,21.0,38.0,30.0,24.0,85,92,85.0,62%,-5%,-22%,0%,0%,0%,63.0,63.0,63.0,394.0,325.0,227.0,244.0,199.0,246.0,270.0,286.0,433.0,329.0,340.0,555.0,1.0,2.0,0.0,80.0,58.0,42.0,561.0,472.0,370.0,230.0,146.0,77.0,-166.0,-98.0,15.0,-120.0,-93.0,-92.0,975.0,15.6,,1.62,"Product Profile: [1] [2] ZMCL is a part of the Essel group. It reaches to 220 million users through 15 news channels comprising 1 global, 3 national and 11 regional channels in the linear TV platform. It has also set up multi-lingual digital news platform i.e., Zeenews.com, wherein news is broadcast online in 9 languages â Hindi, English, Marathi, Bengali, Tamil, Telugu, Malayalam, Kannada and Gujarati. Company reaches out to 60+ million users through the digital platform . Its global channel WION, is available on Etisalat in MENA region and on Sky Channel in the UK market. From February 2023, ZMCL has moved out from Zeeâs Channel Bouquet",Small,-15.0,91.0,300.0,-0.023510971786833857,0.1262135922330097,0.3460207612456747,0.14957446056395018,62.5,1.5282131661442007,93.53333333333335,412.0,532.0,642.0,-267.0,-126.0,16.8,-2.4615384615384617,290.0,388.0,457.0,536.0,587.0,701.0,-0.03,0.15502555366269166,0.42796005706134094,-0.24,1.6274509803921569,1.280701754385965,0.458955223880597,0.3390119250425894,0.34807417974322397,-0.625,1.1,0.25,1127.4666666666667,16.11,2.1,1.53,1.77,-14.0,27.76,1.4,17.664,22.29761194029851,0.6597724922440538,-0.023510971786833857
Hathway Cable and Datacom Limited (NSEI:HATHWAY),NSEI:HATHWAY,Cable TV,Communication Services,1793.0,1858.0,1981.0,1390.0,1538.0,1648.0,121.0,128.0,165.0,0.0,1.0,2.0,368,357,354.0,17%,28%,30%,0%,0%,0%,354.0,354.0,354.0,3771.0,3829.0,3936.0,0.0,5.0,20.0,495.0,643.0,654.0,1592.0,1632.0,1540.0,57.0,48.0,28.0,1905.0,2013.0,2528.0,1065.0,1138.0,868.0,333.0,453.0,-410.0,-382.0,-303.0,274.0,0.0,0.0,-1.0,2632.0,14.9,28.2,75.0,"Parent Group The company is a subsidiary of Reliance Group, a business conglomerate engaged in providing fixed lines through Fiber ISP and CATV services to millions of homes across Pan India. Its shareholding in the company is 53% [1] [2]",Small,335.0,321.0,403.0,0.1691065118626956,0.1727664155005382,0.22476296709425544,0.18887863148582976,176.64429530201343,1.3286219081272084,204.73333333333335,3424.0,3199.0,3027.0,214.0,24.0,1.4567164179104477,-0.8691588785046729,4290.0,4183.0,4125.0,4310.0,4188.0,4125.0,0.08,0.07664756446991404,0.0976969696969697,-0.0,1.0081967213114753,1.0317460317460319,0.004640371229698376,0.0011938872970391596,0.0,167.5,0.01,0.0,2447.2666666666664,3.55,0.57,1.33,1.24,5.0,9.21,1.4,17.664,17.62477030162413,0.3990733279613215,-0.13831398283695104
